TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
CEBPB,1.97,6,0.7253143575364496,0.36320370718266637,0.7981646180939554,0.08328970168998862
IRF9,1.9678,6,0.7922906916936994,0.3639551631285616,0.7334269387225497,0.0781326900907713
NR1H2,1.9649,6,0.8516210240169056,0.3791095247041142,0.6605591600989387,0.07357357336070454
HIF1A,1.9608,6,0.8130932285866481,0.3498653641430271,0.7042101183119975,0.09360613499157569
ID1,1.9607,6,0.7899219249348131,0.33533721585572046,0.7162152886070524,0.11920547794791445
EGR1,1.9604,6,0.7190042594564692,0.32826100569854094,0.8526285054479317,0.06054975683663849
AEBP1,1.9574,6,0.7567149688883406,0.3292629469597345,0.835450141597381,0.03595758305695302
ETV1,1.953,6,0.7327412870270819,0.3916964117978583,0.5759510522720052,0.2526506141541074
FOSB,1.9476,7,0.7704035586642053,0.4062871814139896,0.7159260743064821,0.05496211651239409
JUN,1.9463,7,0.7437810590876037,0.38524641492892475,0.7587253569525483,0.05856617105681418
NFE2L2,1.9428,7,0.7473907453539812,0.41868620452125993,0.6547972821886128,0.12192880337178882
BCL6,1.9411,7,0.7165171561955519,0.42394639614252616,0.7316610836369934,0.0689278658463363
AR,1.9404,6,0.7584684418403191,0.3246915899555388,0.7995643340528222,0.057662916741420885
TWIST2,1.9373,6,0.8203874216112509,0.35669108898490826,0.723581506829218,0.03661688803991218
SRF,1.9353,7,0.7692639438156978,0.40578621078339283,0.6938007529897862,0.06644386428866499
PLAG1,1.9346,7,0.7218560050471508,0.40829106393637676,0.7186060706495042,0.08588598725832834
HHEX,1.933,6,0.6755560019868536,0.26651637547748763,0.7813785577321662,0.20954721468413687
ERG,1.9327,5,0.6154575717398176,0.37773185546997307,0.8632401416207294,0.07626647415338075
GTF3A,1.9266,5,0.6099463467625016,0.5657837059302399,0.5515924253612121,0.19924864450003243
CTNNB1,1.9254,7,0.7009934881429014,0.4684701609368151,0.704298610001737,0.051595191503026314
RELA,1.9212,5,0.834548924196242,0.3533721585572046,0.6687880686351838,0.0645134230749601
